"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2019","1,301.80","1,302.00","1,305.00","1,296.30","2.34K","0.20%"
"May 03, 2019","1,299.20","1,289.60","1,301.70","1,288.50","1.93K","0.72%"
"May 02, 2019","1,289.90","1,297.00","1,297.20","1,285.10","3.05K","-0.94%"
"May 01, 2019","1,302.20","1,302.30","1,307.00","1,292.90","2.49K","-0.11%"
"Apr 30, 2019","1,303.60","1,299.80","1,305.90","1,299.60","2.06K","0.32%"
"Apr 29, 2019","1,299.40","1,306.40","1,306.40","1,298.00","1.29K","-0.57%"
"Apr 26, 2019","1,306.80","1,298.00","1,308.70","1,296.90","2.05K","0.70%"
"Apr 25, 2019","1,297.70","1,294.20","1,302.50","1,293.50","1.42K","0.02%"
"Apr 24, 2019","1,297.40","1,290.30","1,298.40","1,289.10","1.30K","0.48%"
"Apr 23, 2019","1,291.20","1,295.20","1,296.20","1,286.00","2.09K","-0.36%"
"Apr 22, 2019","1,295.80","1,295.80","1,299.50","1,294.10","0.23K","1.40%"
"Apr 19, 2019","1,277.90","1,277.90","1,277.90","1,277.90","-","-1.25%"
"Apr 18, 2019","1,294.10","1,293.70","1,296.90","1,291.00","1.15K","-0.05%"
"Apr 17, 2019","1,294.70","1,297.40","1,299.60","1,293.50","2.23K","-0.04%"
"Apr 16, 2019","1,295.20","1,309.50","1,309.50","1,293.90","3.13K","-1.08%"
"Apr 15, 2019","1,309.40","1,312.30","1,312.30","1,303.60","2.82K","-0.30%"
"Apr 12, 2019","1,313.40","1,314.20","1,316.90","1,312.10","2.37K","0.16%"
"Apr 11, 2019","1,311.30","1,329.20","1,329.20","1,311.00","1.72K","-1.55%"
"Apr 10, 2019","1,331.90","1,326.50","1,332.20","1,322.80","2.08K","0.42%"
"Apr 09, 2019","1,326.30","1,320.00","1,328.30","1,320.00","2.72K","0.48%"
"Apr 08, 2019","1,319.90","1,313.70","1,325.40","1,313.70","1.26K","0.47%"
"Apr 05, 2019","1,313.70","1,315.00","1,315.00","1,306.60","1.64K","0.11%"
"Apr 04, 2019","1,312.20","1,313.10","1,316.40","1,302.80","2.29K","-0.08%"
"Apr 03, 2019","1,313.30","1,314.00","1,316.60","1,310.60","1.44K","-0.01%"
"Apr 02, 2019","1,313.40","1,310.70","1,314.70","1,308.00","1.41K","0.08%"
"Apr 01, 2019","1,312.40","1,314.40","1,319.30","1,309.50","0.77K","-0.31%"
"Mar 29, 2019","1,316.50","1,314.00","1,322.30","1,310.00","0.83K","0.24%"
"Mar 28, 2019","1,313.30","1,332.50","1,334.70","1,311.40","2.56K","-1.60%"
"Mar 27, 2019","1,334.70","1,341.10","1,342.80","1,331.80","1.71K","-0.34%"
"Mar 26, 2019","1,339.20","1,345.20","1,345.60","1,336.60","1.83K","-0.56%"
"Mar 25, 2019","1,346.70","1,335.30","1,348.40","1,335.30","2.50K","0.76%"
"Mar 22, 2019","1,336.50","1,333.00","1,338.80","1,331.70","3.94K","0.37%"
"Mar 21, 2019","1,331.60","1,338.00","1,344.20","1,327.80","1.30K","0.44%"
"Mar 20, 2019","1,325.80","1,330.90","1,341.10","1,323.00","2.96K","-0.38%"
