"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 12, 2019","1,322.40","1,319.10","1,326.30","1,319.00","1.33K","0.51%"
"Mar 11, 2019","1,315.70","1,323.50","1,323.50","1,315.40","1.36K","-0.65%"
"Mar 08, 2019","1,324.30","1,312.30","1,325.70","1,312.30","2.40K","1.04%"
"Mar 07, 2019","1,310.70","1,312.40","1,312.90","1,306.70","2.36K","-0.11%"
"Mar 06, 2019","1,312.20","1,314.00","1,316.10","1,309.60","1.10K","0.24%"
"Mar 05, 2019","1,309.10","1,311.80","1,314.10","1,306.90","1.24K","-0.21%"
"Mar 04, 2019","1,311.90","1,320.60","1,322.30","1,308.40","1.76K","-0.90%"
"Mar 01, 2019","1,323.80","1,339.10","1,340.60","1,316.30","2.18K","-1.28%"
"Feb 28, 2019","1,341.00","1,347.60","1,353.40","1,338.90","0.61K","-0.37%"
"Feb 27, 2019","1,346.00","1,356.00","1,356.00","1,344.30","0.88K","-0.55%"
"Feb 26, 2019","1,353.40","1,356.10","1,357.00","1,350.70","0.17K","-0.06%"
"Feb 25, 2019","1,354.20","1,357.80","1,359.00","1,352.40","0.55K","-0.25%"
"Feb 22, 2019","1,357.60","1,351.30","1,359.80","1,349.10","0.99K","0.38%"
"Feb 21, 2019","1,352.40","1,367.90","1,368.40","1,351.20","0.86K","-1.46%"
"Feb 20, 2019","1,372.50","1,371.30","1,374.30","1,366.30","1.67K","0.21%"
"Feb 19, 2019","1,369.60","1,349.50","1,369.60","1,349.00","2.60K","3.01%"
"Feb 18, 2019","1,329.55","1,324.35","1,330.75","1,324.05","-","0.40%"
"Feb 17, 2019","1,324.25","1,324.65","1,324.95","1,323.85","-","-1.67%"
"Feb 15, 2019","1,346.80","1,340.40","1,350.00","1,340.40","0.85K","0.61%"
"Feb 14, 2019","1,338.70","1,337.00","1,342.00","1,329.90","0.81K","-0.10%"
"Feb 13, 2019","1,340.10","1,338.60","1,345.20","1,333.20","1.88K","0.09%"
"Feb 12, 2019","1,338.90","1,337.00","1,342.10","1,336.80","1.07K","0.14%"
"Feb 11, 2019","1,337.00","1,342.50","1,342.70","1,333.00","1.26K","-0.50%"
"Feb 08, 2019","1,343.70","1,337.90","1,344.20","1,337.90","0.33K","0.32%"
"Feb 07, 2019","1,339.40","1,335.60","1,340.70","1,332.00","1.66K","-0.02%"
"Feb 06, 2019","1,339.70","1,344.90","1,344.90","1,335.00","0.77K","-0.36%"
"Feb 05, 2019","1,344.60","1,343.40","1,345.70","1,340.80","1.25K","0.02%"
"Feb 04, 2019","1,344.30","1,346.40","1,346.40","1,338.00","0.53K","-0.21%"
"Feb 01, 2019","1,347.10","1,349.80","1,352.20","1,345.90","0.75K","-0.21%"
"Jan 31, 2019","1,350.00","1,350.60","1,354.60","1,347.00","2.65K","0.71%"
"Jan 30, 2019","1,340.50","1,341.30","1,353.20","1,340.20","1.91K","0.02%"
"Jan 29, 2019","1,340.20","1,334.20","1,341.70","1,333.10","9.30K","0.43%"
"Jan 28, 2019","1,334.50","1,331.90","1,334.70","1,329.30","0.92K","0.41%"
"Jan 25, 2019","1,329.10","1,313.10","1,333.20","1,312.30","0.36K","1.40%"
"Jan 24, 2019","1,310.80","1,314.00","1,314.00","1,308.50","0.40K","-0.33%"
"Jan 23, 2019","1,315.20","1,315.00","1,316.30","1,309.90","0.92K","0.08%"
"Jan 22, 2019","1,314.20","1,311.10","1,315.80","1,308.00","1.37K","2.75%"
"Jan 21, 2019","1,279.05","1,281.95","1,282.95","1,276.15","-","-0.23%"
"Jan 20, 2019","1,282.05","1,281.30","1,282.70","1,280.50","-","-2.42%"
"Jan 18, 2019","1,313.80","1,322.00","1,322.10","1,312.00","0.29K","-0.74%"
"Jan 17, 2019","1,323.60","1,323.50","1,323.50","1,319.90","0.48K","-0.11%"
"Jan 16, 2019","1,325.10","1,321.30","1,326.00","1,321.30","1.12K","0.41%"
"Jan 15, 2019","1,319.70","1,324.70","1,326.00","1,318.10","0.94K","-0.27%"
"Jan 14, 2019","1,323.30","1,323.10","1,327.10","1,321.00","1.32K","0.15%"
"Jan 11, 2019","1,321.30","1,319.30","1,325.80","1,319.00","0.53K","0.16%"
"Jan 10, 2019","1,319.20","1,325.00","1,328.00","1,319.10","0.55K","-0.32%"
"Jan 09, 2019","1,323.50","1,314.30","1,326.00","1,312.40","0.58K","0.46%"
"Jan 08, 2019","1,317.40","1,321.60","1,321.60","1,312.90","1.01K","-0.31%"
"Jan 07, 2019","1,321.50","1,317.60","1,326.80","1,317.60","0.90K","0.31%"
"Jan 04, 2019","1,317.40","1,328.00","1,330.80","1,309.60","0.92K","-0.66%"
"Jan 03, 2019","1,326.10","1,318.70","1,327.00","1,318.70","1.70K","0.82%"
"Jan 02, 2019","1,315.30","1,319.90","1,320.60","1,315.00","0.80K","2.49%"
"Jan 01, 2019","1,283.35","1,284.70","1,284.75","1,282.85","-","-2.22%"
"Dec 31, 2018","1,312.50","1,313.00","1,317.10","1,311.00","0.53K","-0.09%"
"Dec 28, 2018","1,313.70","1,311.00","1,313.90","1,309.20","0.62K","0.14%"
"Dec 27, 2018","1,311.90","1,304.00","1,312.30","1,300.30","0.21K","0.63%"
"Dec 26, 2018","1,303.70","1,299.00","1,312.80","1,298.70","0.26K","2.59%"
"Dec 25, 2018","1,270.75","1,272.50","1,274.55","1,270.65","-","-2.43%"
"Dec 24, 2018","1,302.40","1,292.50","1,303.80","1,292.50","0.16K","1.07%"
"Dec 21, 2018","1,288.60","1,295.50","1,295.50","1,287.90","0.43K","-0.77%"
"Dec 20, 2018","1,298.60","1,279.30","1,300.00","1,279.20","0.54K","0.92%"
"Dec 19, 2018","1,286.80","1,283.90","1,289.40","1,276.10","0.25K","0.22%"
"Dec 18, 2018","1,284.00","1,282.70","1,284.60","1,280.70","1.75K","0.11%"
"Dec 17, 2018","1,282.60","1,271.40","1,282.00","1,270.20","0.44K","0.82%"
"Dec 14, 2018","1,272.20","1,277.10","1,277.10","1,267.50","0.34K","-0.48%"
"Dec 13, 2018","1,278.40","1,281.20","1,281.90","1,276.90","0.16K","-0.20%"
"Dec 12, 2018","1,281.00","1,280.00","1,282.60","1,279.80","0.43K","0.23%"
"Dec 11, 2018","1,278.10","1,279.80","1,285.00","1,277.10","0.29K","-0.15%"
"Dec 10, 2018","1,280.00","1,283.80","1,283.80","1,279.60","0.68K","-0.28%"
"Dec 07, 2018","1,283.60","1,273.60","1,286.60","1,273.50","0.53K","0.73%"
"Dec 06, 2018","1,274.30","1,273.00","1,279.20","1,271.20","0.59K","0.07%"
"Dec 05, 2018","1,273.40","1,273.50","1,273.50","1,269.70","0.21K","-0.31%"
